Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : Title
Points       : 99
Pen legend   : 17:26:22
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	7.53943710e+001	1.32635897e-002	-1.71124399e+000	7.53607466e+001	-2.25145700e+000	1.32576744e-002	3.96082643e-004
3.50667900e+006	7.53943710e+001	1.32635897e-002	-1.66932094e+000	7.53623738e+001	-2.19631530e+000	1.32579606e-002	3.86381961e-004
3.07420000e+006	7.56431427e+001	1.32199690e-002	-1.56886101e+000	7.56147873e+001	-2.07098584e+000	1.32150134e-002	3.61941183e-004
2.69505900e+006	7.56431427e+001	1.32199690e-002	-1.53901899e+000	7.56158557e+001	-2.03160224e+000	1.32152001e-002	3.55058207e-004
2.36267700e+006	7.58927231e+001	1.31764939e-002	-1.48925304e+000	7.58670878e+001	-1.97240955e+000	1.31720431e-002	3.42449728e-004
2.07128800e+006	7.61431427e+001	1.31331590e-002	-1.28519797e+000	7.61239879e+001	-1.70781875e+000	1.31298552e-002	2.94564348e-004
1.81583600e+006	7.63943710e+001	1.30899697e-002	-1.23211300e+000	7.63767078e+001	-1.64269069e+000	1.30869431e-002	2.81470624e-004
1.59188900e+006	7.63943710e+001	1.30899697e-002	-1.06416595e+000	7.63811948e+001	-1.41880633e+000	1.30877120e-002	2.43108642e-004
1.39556100e+006	7.66464386e+001	1.30469206e-002	-8.67288411e-001	7.66376578e+001	-1.16015577e+000	1.30454259e-002	1.97484196e-004
1.22344600e+006	7.66464386e+001	1.30469206e-002	-5.46805203e-001	7.66429482e+001	-7.31468104e-001	1.30463265e-002	1.24512064e-004
1.07255900e+006	7.66464386e+001	1.30469206e-002	-1.03514999e-001	7.66463135e+001	-1.38475325e-001	1.30468993e-002	2.35715659e-005
9.40280313e+005	7.68993378e+001	1.30040132e-002	1.30329207e-001	7.68991388e+001	1.74920755e-001	1.30039795e-002	-2.95798621e-005
8.24315375e+005	7.68993378e+001	1.30040132e-002	2.85323411e-001	7.68983843e+001	3.82944274e-001	1.30038519e-002	-6.47575457e-005
7.22652563e+005	7.68993378e+001	1.30040132e-002	2.28535697e-001	7.68987260e+001	3.06727604e-001	1.30039097e-002	-5.18689745e-005
6.33527750e+005	7.68993378e+001	1.30040132e-002	1.34780005e-001	7.68991250e+001	1.80894363e-001	1.30039772e-002	-3.05900252e-005
5.55394813e+005	7.71530685e+001	1.29612473e-002	3.20459902e-003	7.71530684e+001	4.31523316e-003	1.29612473e-002	-7.24932983e-007
4.86897906e+005	7.71530685e+001	1.29612473e-002	-7.90498182e-002	7.71529951e+001	-1.06446481e-001	1.29612349e-002	1.78823628e-005
4.26848781e+005	7.71530685e+001	1.29612473e-002	-1.56587601e-001	7.71527804e+001	-2.10856698e-001	1.29611989e-002	3.54226455e-005
3.74205469e+005	7.74076385e+001	1.29186217e-002	-2.29987800e-001	7.74070149e+001	-3.10716860e-001	1.29185176e-002	5.18557813e-005
3.28054688e+005	7.76630478e+001	1.28761364e-002	-2.55813599e-001	7.76622737e+001	-3.46748014e-001	1.28760081e-002	5.74890487e-005
2.87595656e+005	7.76630478e+001	1.28761364e-002	-3.22402090e-001	7.76618183e+001	-4.37005954e-001	1.28759326e-002	7.24533539e-005
2.52126438e+005	7.76630478e+001	1.28761364e-002	-3.42254490e-001	7.76616622e+001	-4.63914950e-001	1.28759067e-002	7.69147280e-005
2.21031688e+005	7.76630478e+001	1.28761364e-002	-3.59659404e-001	7.76615177e+001	-4.87506449e-001	1.28758828e-002	8.08260779e-005
1.93771844e+005	7.76630478e+001	1.28761364e-002	-3.74918610e-001	7.76613851e+001	-5.08189510e-001	1.28758608e-002	8.42552238e-005
1.69873984e+005	7.76630478e+001	1.28761364e-002	-3.88296396e-001	7.76612643e+001	-5.26322374e-001	1.28758408e-002	8.72615599e-005
1.48923375e+005	7.79192963e+001	1.28337915e-002	-4.43969995e-001	7.79169570e+001	-6.03770185e-001	1.28334062e-002	9.94446949e-005
1.30556680e+005	7.79192963e+001	1.28337915e-002	-4.54251885e-001	7.79168474e+001	-6.17752594e-001	1.28333881e-002	1.01747685e-004
1.14455078e+005	7.79192963e+001	1.28337915e-002	-4.63266104e-001	7.79167493e+001	-6.30011073e-001	1.28333720e-002	1.03766732e-004
1.00339266e+005	7.79192963e+001	1.28337915e-002	-6.03004515e-001	7.79149810e+001	-8.20039809e-001	1.28330807e-002	1.35065644e-004
8.79644844e+004	7.79192963e+001	1.28337915e-002	-6.53877676e-001	7.79142222e+001	-8.89220512e-001	1.28329557e-002	1.46460135e-004
7.71158203e+004	7.81763992e+001	1.27915843e-002	-7.03896582e-001	7.81704998e+001	-9.60397371e-001	1.27906190e-002	1.57144663e-004
6.76051328e+004	7.84343491e+001	1.27495161e-002	-7.53166497e-001	7.84275725e+001	-1.03100827e+000	1.27484146e-002	1.67590562e-004
5.92673477e+004	7.84343491e+001	1.27495161e-002	-7.57834375e-001	7.84274883e+001	-1.03739775e+000	1.27484009e-002	1.68629172e-004
5.19579023e+004	7.84343491e+001	1.27495161e-002	-7.61926591e-001	7.84274140e+001	-1.04299925e+000	1.27483889e-002	1.69539697e-004
4.55499414e+004	7.84343491e+001	1.27495161e-002	-8.09459388e-001	7.84265217e+001	-1.10806256e+000	1.27482438e-002	1.80115749e-004
3.99322813e+004	7.84343491e+001	1.27495161e-002	-8.12604487e-001	7.84264608e+001	-1.11236757e+000	1.27482339e-002	1.80815529e-004
3.50073945e+004	7.89527969e+001	1.26657958e-002	-8.59307110e-001	7.89439176e+001	-1.18406900e+000	1.26643713e-002	1.89951170e-004
3.06899727e+004	7.89527969e+001	1.26657958e-002	-9.05669510e-001	7.89429336e+001	-1.24794817e+000	1.26642135e-002	2.00198818e-004
2.69049648e+004	7.89527969e+001	1.26657958e-002	-9.51733887e-001	7.89419048e+001	-1.31141591e+000	1.26640484e-002	2.10380464e-004
2.35867344e+004	7.89527969e+001	1.26657958e-002	-1.08542800e+000	7.89386298e+001	-1.49561541e+000	1.26635230e-002	2.39930186e-004
2.06778105e+004	7.89527969e+001	1.26657958e-002	-1.17494702e+000	7.89361967e+001	-1.61894738e+000	1.26631327e-002	2.59715395e-004
1.81275859e+004	7.89527969e+001	1.26657958e-002	-1.22031999e+000	7.89348899e+001	-1.68145704e+000	1.26629231e-002	2.69743344e-004
1.58919443e+004	7.89527969e+001	1.26657958e-002	-1.26551700e+000	7.89335390e+001	-1.74372324e+000	1.26627063e-002	2.79732236e-004
1.39319570e+004	7.94746780e+001	1.25826241e-002	-1.31055903e+000	7.94538884e+001	-1.81771111e+000	1.25793326e-002	2.87784439e-004
1.22137051e+004	7.94746780e+001	1.25826241e-002	-1.31152105e+000	7.94538578e+001	-1.81904517e+000	1.25793278e-002	2.87995651e-004
1.07073799e+004	7.97369080e+001	1.25412438e-002	-1.44420099e+000	7.97115791e+001	-2.00964066e+000	1.25372600e-002	3.16081900e-004
9.38687109e+003	7.97369080e+001	1.25412438e-002	-1.57677603e+000	7.97067156e+001	-2.19407741e+000	1.25364950e-002	3.45090629e-004
8.22916797e+003	7.97369080e+001	1.25412438e-002	-1.66531503e+000	7.97032300e+001	-2.31724531e+000	1.25359468e-002	3.64462819e-004
