Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : Title
Points       : 99
Pen legend   : 18:51:19
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	1.59778793e+002	6.25865285e-003	-1.24391499e+001	1.56028038e+002	-3.44167725e+001	6.11173299e-003	1.34813029e-003
3.50667900e+006	1.65129700e+002	6.05584581e-003	-1.12066603e+001	1.61981101e+002	-3.20926896e+001	5.94037639e-003	1.17694382e-003
3.07420000e+006	1.70098602e+002	5.87894307e-003	-1.01645403e+001	1.67428907e+002	-3.00182527e+001	5.78667315e-003	1.03749000e-003
2.69505900e+006	1.73494003e+002	5.76388798e-003	-9.31547260e+000	1.71205971e+002	-2.80835287e+001	5.68787405e-003	9.33002354e-004
2.36267700e+006	1.75795197e+002	5.68843757e-003	-8.66211414e+000	1.73790022e+002	-2.64760157e+001	5.62355348e-003	8.56719441e-004
2.07128800e+006	1.78126907e+002	5.61397497e-003	-7.94331789e+000	1.76417827e+002	-2.46159578e+001	5.56011038e-003	7.75814128e-004
1.81583600e+006	1.78714600e+002	5.59551375e-003	-7.33722305e+000	1.77251228e+002	-2.28234593e+001	5.54969592e-003	7.14597358e-004
1.59188900e+006	1.80489502e+002	5.54048844e-003	-6.93387985e+000	1.79169425e+002	-2.17893876e+001	5.49996603e-003	6.68869096e-004
1.39556100e+006	1.81085007e+002	5.52226834e-003	-6.33974314e+000	1.79977599e+002	-1.99960845e+001	5.48849746e-003	6.09789547e-004
1.22344600e+006	1.81085007e+002	5.52226834e-003	-5.86418819e+000	1.80137366e+002	-1.85015989e+001	5.49336960e-003	5.64214540e-004
1.07255900e+006	1.82281998e+002	5.48600527e-003	-5.37695313e+000	1.81479909e+002	-1.70812536e+001	5.46186541e-003	5.14081743e-004
9.40280313e+005	1.82281998e+002	5.48600527e-003	-5.01127195e+000	1.81585231e+002	-1.59226470e+001	5.46503519e-003	4.79212024e-004
8.24315375e+005	1.82883408e+002	5.46796461e-003	-4.50471592e+000	1.82318457e+002	-1.43638732e+001	5.45107337e-003	4.29460229e-004
7.22652563e+005	1.83486893e+002	5.44998057e-003	-4.16599607e+000	1.83002078e+002	-1.33296434e+001	5.43558045e-003	3.95920910e-004
6.33527750e+005	1.84092300e+002	5.43205771e-003	-3.77635288e+000	1.83692587e+002	-1.21247022e+001	5.42026328e-003	3.57766631e-004
5.55394813e+005	1.84699707e+002	5.41419375e-003	-3.42453003e+000	1.84369897e+002	-1.10328051e+001	5.40452587e-003	3.23410065e-004
4.86897906e+005	1.84699707e+002	5.41419375e-003	-3.28705812e+000	1.84395838e+002	-1.05904081e+001	5.40528629e-003	3.10441865e-004
4.26848781e+005	1.84699707e+002	5.41419375e-003	-2.92514205e+000	1.84459054e+002	-9.42544488e+000	5.40713938e-003	2.76292722e-004
3.74205469e+005	1.85309097e+002	5.39638914e-003	-2.77881598e+000	1.85091198e+002	-8.98387344e+000	5.39004369e-003	2.61619520e-004
3.28054688e+005	1.85920593e+002	5.37864032e-003	-2.67280602e+000	1.85718334e+002	-8.66991379e+000	5.37278901e-003	2.50818627e-004
2.87595656e+005	1.85920593e+002	5.37864032e-003	-2.56361294e+000	1.85734520e+002	-8.31596018e+000	5.37325726e-003	2.40578830e-004
2.52126438e+005	1.86533997e+002	5.36095306e-003	-2.40768409e+000	1.86369325e+002	-7.83622760e+000	5.35622044e-003	2.25211753e-004
2.21031688e+005	1.86533997e+002	5.36095306e-003	-2.33719802e+000	1.86378825e+002	-7.60694758e+000	5.35649344e-003	2.18622287e-004
1.93771844e+005	1.87149506e+002	5.34332162e-003	-2.30851197e+000	1.86997619e+002	-7.53842594e+000	5.33898510e-003	2.15230247e-004
1.69873984e+005	1.87149506e+002	5.34332162e-003	-2.23399901e+000	1.87007265e+002	-7.29522990e+000	5.33926049e-003	2.08286736e-004
1.48923375e+005	1.87766998e+002	5.32574951e-003	-2.24572802e+000	1.87622786e+002	-7.35770859e+000	5.32165913e-003	2.08691161e-004
1.30556680e+005	1.88386597e+002	5.30823327e-003	-2.21206498e+000	1.88246213e+002	-7.27138856e+000	5.30427763e-003	2.04888391e-004
1.14455078e+005	1.88386597e+002	5.30823327e-003	-2.22107911e+000	1.88245067e+002	-7.30100454e+000	5.30424533e-003	2.05722891e-004
1.00339266e+005	1.89631805e+002	5.27337699e-003	-2.22898102e+000	1.89488325e+002	-7.37539637e+000	5.26938701e-003	2.05098746e-004
8.79644844e+004	1.89631805e+002	5.27337699e-003	-2.32380009e+000	1.89475860e+002	-7.68897129e+000	5.26904037e-003	2.13818796e-004
7.71158203e+004	1.89631805e+002	5.27337699e-003	-2.32987309e+000	1.89475043e+002	-7.70905451e+000	5.26901768e-003	2.14377280e-004
6.76051328e+004	1.90257507e+002	5.25603438e-003	-2.37914300e+000	1.90093507e+002	-7.89795955e+000	5.25150372e-003	2.18188220e-004
5.92673477e+004	1.90885300e+002	5.23874809e-003	-2.47170210e+000	1.90707708e+002	-8.23211191e+000	5.23387419e-003	2.25926044e-004
5.19579023e+004	1.91515106e+002	5.22152022e-003	-2.51973891e+000	1.91329937e+002	-8.41968699e+000	5.21647172e-003	2.29556648e-004
4.55499414e+004	1.92147003e+002	5.20434867e-003	-2.56727195e+000	1.91954149e+002	-8.60671707e+000	5.19912516e-003	2.33115041e-004
3.99322813e+004	1.92147003e+002	5.20434867e-003	-2.70225310e+000	1.91933340e+002	-9.05891094e+000	5.19856155e-003	2.45362823e-004
3.50073945e+004	1.93417099e+002	5.17017371e-003	-2.88079095e+000	1.93172671e+002	-9.72077695e+000	5.16363997e-003	2.59843135e-004
3.06899727e+004	1.94055298e+002	5.15317031e-003	-3.05899000e+000	1.93778793e+002	-1.03555838e+001	5.14582767e-003	2.74994229e-004
