Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : Title
Points       : 99
Pen legend   : 18:21:07
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	3.46508392e+002	2.88593299e-003	-4.25856285e+001	2.55122641e+002	-2.34479219e+002	2.12481677e-003	1.95288578e-003
3.50667900e+006	3.79989014e+002	2.63165503e-003	-4.05181808e+001	2.88867590e+002	-2.46874798e+002	2.00058375e-003	1.70975813e-003
3.07420000e+006	4.08549286e+002	2.44768510e-003	-3.82895393e+001	3.20666050e+002	-2.53151740e+002	1.92116237e-003	1.51667317e-003
2.69505900e+006	4.37811707e+002	2.28408694e-003	-3.61221085e+001	3.53647867e+002	-2.58093542e+002	1.84499971e-003	1.34648773e-003
2.36267700e+006	4.70718109e+002	2.12441370e-003	-3.38427811e+001	3.90963807e+002	-2.62150414e+002	1.76447188e-003	1.18311984e-003
2.07128800e+006	4.97830414e+002	2.00871617e-003	-3.16298409e+001	4.23879655e+002	-2.61076921e+002	1.71032924e-003	1.05342988e-003
1.81583600e+006	5.23046875e+002	1.91187453e-003	-2.92219906e+001	4.56481193e+002	-2.55348690e+002	1.66855938e-003	9.33366933e-004
1.59188900e+006	5.44136719e+002	1.83777342e-003	-2.67092705e+001	4.86076611e+002	-2.44569616e+002	1.64168057e-003	8.26012149e-004
1.39556100e+006	5.62359680e+002	1.77822137e-003	-2.44012699e+001	5.12126623e+002	-2.32324626e+002	1.61938086e-003	7.34627017e-004
1.22344600e+006	5.77376526e+002	1.73197204e-003	-2.20360603e+001	5.35197961e+002	-2.16625935e+002	1.60544785e-003	6.49818698e-004
1.07255900e+006	5.90844788e+002	1.69249187e-003	-1.98349609e+001	5.55792272e+002	-2.00480707e+002	1.59208293e-003	5.74282746e-004
9.40280313e+005	6.00656921e+002	1.66484388e-003	-1.79311905e+001	5.71481180e+002	-1.84927008e+002	1.58397733e-003	5.12563141e-004
8.24315375e+005	6.10632019e+002	1.63764750e-003	-1.61062794e+001	5.86663953e+002	-1.69401504e+002	1.57336780e-003	4.54316086e-004
7.22652563e+005	6.16696411e+002	1.62154341e-003	-1.44931402e+001	5.97071658e+002	-1.54336966e+002	1.56994202e-003	4.05814085e-004
6.33527750e+005	6.22820984e+002	1.60559780e-003	-1.30048704e+001	6.06846211e+002	-1.40155822e+002	1.56441572e-003	3.61313902e-004
5.55394813e+005	6.29006409e+002	1.58980892e-003	-1.16862497e+001	6.15968017e+002	-1.27406687e+002	1.55685449e-003	3.22019435e-004
