Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 14/07/2017
Graph title  : Title
Points       : 99
Pen legend   : 18:01:44
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	1.56501495e+002	6.38971530e-003	-1.19996901e+001	1.53081738e+002	-3.25376624e+001	6.25009188e-003	1.32846270e-003
3.50667900e+006	1.61203995e+002	6.20332022e-003	-1.15142698e+001	1.57959768e+002	-3.21782492e+001	6.07847853e-003	1.23825706e-003
3.07420000e+006	1.65502396e+002	6.04220861e-003	-1.04282103e+001	1.62768705e+002	-2.99564957e+001	5.94240625e-003	1.09366028e-003
2.69505900e+006	1.69357407e+002	5.90467237e-003	-9.97465229e+000	1.66797481e+002	-2.93348165e+001	5.81542017e-003	1.02276295e-003
2.36267700e+006	1.72165894e+002	5.80835135e-003	-9.45312977e+000	1.69827930e+002	-2.82766520e+001	5.72947560e-003	9.53967864e-004
2.07128800e+006	1.74446198e+002	5.73242647e-003	-8.77827835e+000	1.72402789e+002	-2.66224390e+001	5.66527860e-003	8.74832332e-004
1.81583600e+006	1.76176193e+002	5.67613581e-003	-8.34796429e+000	1.74309535e+002	-2.55780555e+001	5.61599487e-003	8.24087035e-004
1.59188900e+006	1.76756607e+002	5.65749715e-003	-7.90067720e+000	1.75078805e+002	-2.42963010e+001	5.60379527e-003	7.77658361e-004
1.39556100e+006	1.77923294e+002	5.62039954e-003	-7.48232079e+000	1.76408293e+002	-2.31692186e+001	5.57254234e-003	7.31889919e-004
1.22344600e+006	1.79687805e+002	5.56520794e-003	-7.09465694e+000	1.78312018e+002	-2.21930499e+001	5.52259770e-003	6.87352919e-004
1.07255900e+006	1.79687805e+002	5.56520794e-003	-6.69531202e+000	1.78462369e+002	-2.09497068e+001	5.52725429e-003	6.48844671e-004
9.40280313e+005	1.80279800e+002	5.54693314e-003	-6.24174118e+000	1.79211105e+002	-1.96006665e+001	5.51405104e-003	6.03082467e-004
8.24315375e+005	1.81469803e+002	5.51055869e-003	-5.99885702e+000	1.80476071e+002	-1.89651594e+001	5.48038277e-003	5.75900906e-004
7.22652563e+005	1.82667603e+002	5.47442451e-003	-5.70408201e+000	1.81763122e+002	-1.81554502e+001	5.44731785e-003	5.44106565e-004
6.33527750e+005	1.83873199e+002	5.43853048e-003	-5.40232897e+000	1.83056460e+002	-1.73114376e+001	5.41437328e-003	5.12031015e-004
5.55394813e+005	1.84479095e+002	5.42066838e-003	-5.09445095e+000	1.83750342e+002	-1.63813435e+001	5.39925495e-003	4.81343593e-004
4.86897906e+005	1.85086899e+002	5.40286755e-003	-4.95697880e+000	1.84394648e+002	-1.59929358e+001	5.38266007e-003	4.66849434e-004
4.26848781e+005	1.85696701e+002	5.38512528e-003	-4.81479120e+000	1.85041419e+002	-1.55864694e+001	5.36612238e-003	4.52000977e-004
3.74205469e+005	1.86922394e+002	5.34981379e-003	-4.58057404e+000	1.86325366e+002	-1.49278027e+001	5.33272655e-003	4.27241291e-004
3.28054688e+005	1.88156204e+002	5.31473307e-003	-4.47456408e+000	1.87582717e+002	-1.46792915e+001	5.29853411e-003	4.14636957e-004
2.87595656e+005	1.88776199e+002	5.29727796e-003	-4.40931606e+000	1.88217472e+002	-1.45133301e+001	5.28159942e-003	4.07260789e-004
2.52126438e+005	1.90648300e+002	5.24526051e-003	-4.34127808e+000	1.90101303e+002	-1.44315268e+001	5.23021111e-003	3.97051102e-004
2.21031688e+005	1.91276398e+002	5.22803656e-003	-4.27079201e+000	1.90745266e+002	-1.42444253e+001	5.21351948e-003	3.89333850e-004
1.93771844e+005	1.91906601e+002	5.21086818e-003	-4.19816113e+000	1.91391682e+002	-1.40487509e+001	5.19688652e-003	3.81467800e-004
1.69873984e+005	1.92538895e+002	5.19375580e-003	-4.16759300e+000	1.92029772e+002	-1.39925900e+001	5.18002216e-003	3.77451505e-004
1.48923375e+005	1.94448303e+002	5.14275508e-003	-4.09143114e+000	1.93952745e+002	-1.38735503e+001	5.12964859e-003	3.66926686e-004
1.30556680e+005	1.95089005e+002	5.12586551e-003	-4.01382208e+000	1.94610489e+002	-1.36556694e+001	5.11329275e-003	3.58795848e-004
1.14455078e+005	1.96376694e+002	5.09225398e-003	-3.97889090e+000	1.95903364e+002	-1.36263712e+001	5.07998003e-003	3.53346122e-004
1.00339266e+005	1.97023697e+002	5.07553160e-003	-3.89890289e+000	1.96567702e+002	-1.33968601e+001	5.06378470e-003	3.45116795e-004
8.79644844e+004	1.97672897e+002	5.05886246e-003	-3.90583110e+000	1.97213773e+002	-1.34648505e+001	5.04711250e-003	3.44593657e-004
7.71158203e+004	1.98977600e+002	5.02569133e-003	-3.91190410e+000	1.98514007e+002	-1.35747640e+001	5.01398210e-003	3.42865598e-004
6.76051328e+004	2.00291000e+002	4.99273556e-003	-3.87328410e+000	1.99833513e+002	-1.35296736e+001	4.98133158e-003	3.37259700e-004
5.92673477e+004	2.00950897e+002	4.97634006e-003	-3.87795210e+000	2.00490796e+002	-1.35905841e+001	4.96494612e-003	3.36556687e-004
5.19579023e+004	2.02277298e+002	4.94370851e-003	-3.88204408e+000	2.01813182e+002	-1.36947037e+001	4.93236540e-003	3.34702034e-004
4.55499414e+004	2.02943802e+002	4.92747249e-003	-3.92957711e+000	2.02466688e+002	-1.39078005e+001	4.91588817e-003	3.37681188e-004
3.99322813e+004	2.03612396e+002	4.91129233e-003	-3.97666693e+000	2.03122174e+002	-1.41205647e+001	4.89946778e-003	3.40599209e-004
3.50073945e+004	2.04956406e+002	4.87908634e-003	-4.02336979e+000	2.04451294e+002	-1.43804289e+001	4.86706191e-003	3.42333063e-004
3.06899727e+004	2.05631699e+002	4.86306346e-003	-4.06973219e+000	2.05113181e+002	-1.45937872e+001	4.85080083e-003	3.45134110e-004
2.69049648e+004	2.07670898e+002	4.81531118e-003	-4.11579704e+000	2.07135322e+002	-1.49050484e+001	4.80289265e-003	3.45606664e-004
2.35867344e+004	2.07670898e+002	4.81531118e-003	-4.20554495e+000	2.07111721e+002	-1.52294860e+001	4.80234540e-003	3.53129471e-004
2.06778105e+004	2.08355194e+002	4.79949638e-003	-4.25111914e+000	2.07781954e+002	-1.54449474e+001	4.78629171e-003	3.55776919e-004
1.81275859e+004	2.10421402e+002	4.75236830e-003	-4.38438177e+000	2.09805631e+002	-1.60861352e+001	4.73846110e-003	3.63305436e-004
1.58919443e+004	2.11114700e+002	4.73676157e-003	-4.42957878e+000	2.10484104e+002	-1.63051786e+001	4.72261293e-003	3.65837828e-004
1.39319570e+004	2.11810303e+002	4.72120566e-003	-4.56251192e+000	2.11139105e+002	-1.68488158e+001	4.70624481e-003	3.75556445e-004
1.22137051e+004	2.13208405e+002	4.69024663e-003	-4.69531107e+000	2.12492896e+002	-1.74525889e+001	4.67450658e-003	3.83929266e-004
1.07073799e+004	2.14615707e+002	4.65949120e-003	-4.95982599e+000	2.13812093e+002	-1.85550776e+001	4.64204403e-003	4.02846660e-004
9.38687109e+003	2.16032196e+002	4.62893966e-003	-5.13634586e+000	2.15164713e+002	-1.93405249e+001	4.61035203e-003	4.14411019e-004
8.22916797e+003	2.17458206e+002	4.59858479e-003	-5.26882982e+000	2.16539402e+002	-1.99689430e+001	4.57915486e-003	4.22282879e-004
7.21424072e+003	2.18174606e+002	4.58348484e-003	-5.44517994e+000	2.17190082e+002	-2.07033134e+001	4.56280162e-003	4.34942108e-004
6.32450293e+003	2.20338303e+002	4.53847555e-003	-5.62145901e+000	2.19278648e+002	-2.15833785e+001	4.51664904e-003	4.44569258e-004
5.54451416e+003	2.21792603e+002	4.50871665e-003	-5.88556814e+000	2.20623462e+002	-2.27430536e+001	4.48494975e-003	4.62332752e-004
4.86068262e+003	2.23256607e+002	4.47915075e-003	-6.19356823e+000	2.21953476e+002	-2.40866544e+001	4.45300632e-003	4.83245524e-004
4.26120459e+003	2.24730194e+002	4.44978034e-003	-6.36968517e+000	2.23342880e+002	-2.49322690e+001	4.42231077e-003	4.93672516e-004
3.73570776e+003	2.26958801e+002	4.40608601e-003	-6.58970499e+000	2.25459376e+002	-2.60454874e+001	4.37697677e-003	5.05636516e-004
3.27495142e+003	2.27706604e+002	4.39161615e-003	-6.76574516e+000	2.26120882e+002	-2.68261818e+001	4.36103346e-003	5.17377586e-004
2.87106714e+003	2.30722504e+002	4.33421094e-003	-7.20542383e+000	2.28900449e+002	-2.89388661e+001	4.29998295e-003	5.43627727e-004
2.51696021e+003	2.33010605e+002	4.29165016e-003	-7.46929407e+000	2.31033433e+002	-3.02901760e+001	4.25523410e-003	5.57892371e-004
2.20655029e+003	2.34548599e+002	4.26350873e-003	-7.77708483e+000	2.32391231e+002	-3.17389562e+001	4.22429315e-003	5.76935088e-004
1.93441284e+003	2.37655106e+002	4.20777832e-003	-8.12879944e+000	2.35267316e+002	-3.36041573e+001	4.16550154e-003	5.94974992e-004
1.69583777e+003	2.40011902e+002	4.16646005e-003	-8.48049545e+000	2.37387641e+002	-3.53952088e+001	4.12090449e-003	6.14439209e-004
1.48671216e+003	2.41596100e+002	4.13913967e-003	-8.87612057e+000	2.38702808e+002	-3.72779439e+001	4.08957040e-003	6.38663523e-004
1.30333960e+003	2.44796005e+002	4.08503398e-003	-9.31567669e+000	2.41567504e+002	-3.96260666e+001	4.03115836e-003	6.61260090e-004
1.14256079e+003	2.47223602e+002	4.04492124e-003	-9.71127415e+000	2.43680961e+002	-4.17025015e+001	3.98695872e-003	6.82310801e-004
1.00169299e+003	2.50498001e+002	3.99204782e-003	-1.00629196e+001	2.46644457e+002	-4.37694015e+001	3.93063602e-003	6.97528695e-004
8.78113281e+002	2.53815796e+002	3.93986512e-003	-1.05903301e+001	2.49492394e+002	-4.66476520e+001	3.87275495e-003	7.24089910e-004
7.69794800e+002	2.57177399e+002	3.88836657e-003	-1.10298405e+001	2.52426734e+002	-4.92032352e+001	3.81653940e-003	7.43923129e-004
6.74889404e+002	2.61442200e+002	3.82493722e-003	-1.14693499e+001	2.56221517e+002	-5.19861341e+001	3.74855787e-003	7.60564666e-004
5.91668274e+002	2.64904907e+002	3.77493951e-003	-1.20846300e+001	2.59034464e+002	-5.54595002e+001	3.69128471e-003	7.90307210e-004
5.18641296e+002	2.67532013e+002	3.73787043e-003	-1.25680704e+001	2.61121458e+002	-5.82147927e+001	3.64830424e-003	8.13358184e-004
4.54675507e+002	2.72864594e+002	3.66482139e-003	-1.31393900e+001	2.65720976e+002	-6.20278107e+001	3.56887607e-003	8.33090306e-004
3.98638397e+002	2.76478485e+002	3.61691797e-003	-1.36228199e+001	2.68700391e+002	-6.51187590e+001	3.51516419e-003	8.51889829e-004
