Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : Title
Points       : 99
Pen legend   : 17:32:41
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	8.13285599e+001	1.22958036e-002	-3.55694699e+000	8.11718909e+001	-5.04567004e+000	1.22721173e-002	7.62838639e-004
3.50667900e+006	8.13285599e+001	1.22958036e-002	-3.29529691e+000	8.11940862e+001	-4.67493466e+000	1.22754730e-002	7.06788347e-004
3.07420000e+006	8.21362534e+001	1.21748918e-002	-3.01905608e+000	8.20222542e+001	-4.32595949e+000	1.21579940e-002	6.41228285e-004
2.69505900e+006	8.21362534e+001	1.21748918e-002	-2.68159699e+000	8.20463104e+001	-3.84279487e+000	1.21615598e-002	5.69609763e-004
2.36267700e+006	8.24072723e+001	1.21348514e-002	-2.54394102e+000	8.23260579e+001	-3.65769293e+000	1.21228922e-002	5.38612173e-004
2.07128800e+006	8.29519806e+001	1.20551673e-002	-2.16410398e+000	8.28928168e+001	-3.13241276e+000	1.20465692e-002	4.55224329e-004
1.81583600e+006	8.29519806e+001	1.20551673e-002	-1.97918403e+000	8.29024948e+001	-2.86486349e+000	1.20479756e-002	4.16342181e-004
1.59188900e+006	8.32256927e+001	1.20155203e-002	-1.44071603e+000	8.31993830e+001	-2.09250935e+000	1.20117219e-002	3.02101283e-004
1.39556100e+006	8.32256927e+001	1.20155203e-002	-9.78414774e-001	8.32135584e+001	-1.42113940e+000	1.20137684e-002	2.05173772e-004
1.22344600e+006	8.32256927e+001	1.20155203e-002	-4.58914608e-001	8.32230232e+001	-6.66594959e-001	1.20151349e-002	9.62381326e-005
1.07255900e+006	8.35002899e+001	1.19760063e-002	-1.47460297e-001	8.35000134e+001	-2.14901761e-001	1.19759667e-002	3.08222266e-005
9.40280313e+005	8.37758026e+001	1.19366209e-002	-1.50678004e-003	8.37758026e+001	-2.20315891e-003	1.19366209e-002	3.13912514e-007
8.24315375e+005	8.37758026e+001	1.19366209e-002	6.55967817e-002	8.37757477e+001	9.59132048e-002	1.19366131e-002	-1.36659934e-005
7.22652563e+005	8.37758026e+001	1.19366209e-002	5.27543910e-002	8.37757671e+001	7.71355388e-002	1.19366159e-002	-1.09904968e-005
6.33527750e+005	8.40522232e+001	1.18973653e-002	-4.10012305e-002	8.40522017e+001	-6.01483095e-002	1.18973622e-002	8.51383082e-006
5.55394813e+005	8.40522232e+001	1.18973653e-002	-1.72576696e-001	8.40518419e+001	-2.53167565e-001	1.18973113e-002	3.58351853e-005
