Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : Title
Points       : 99
Pen legend   : 18:13:46
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	3.34177307e+002	2.99242342e-003	-3.97291908e+001	2.57007084e+002	-2.13592676e+002	2.30139510e-003	1.91263653e-003
3.50667900e+006	3.59294403e+002	2.78323289e-003	-3.74859505e+001	2.85101040e+002	-2.18654671e+002	2.20850251e-003	1.69378333e-003
3.07420000e+006	3.86299408e+002	2.58866563e-003	-3.53012619e+001	3.15268551e+002	-2.23233002e+002	2.11267438e-003	1.49592670e-003
2.69505900e+006	4.11249786e+002	2.43161221e-003	-3.31338310e+001	3.44378975e+002	-2.24787697e+002	2.03622262e-003	1.32911074e-003
2.36267700e+006	4.36371887e+002	2.29162334e-003	-3.08984394e+001	3.74441506e+002	-2.24084767e+002	1.96639362e-003	1.17678956e-003
2.07128800e+006	4.59988190e+002	2.17396886e-003	-2.87733994e+001	4.03193562e+002	-2.21413834e+002	1.90554947e-003	1.04643291e-003
1.81583600e+006	4.80114288e+002	2.08283741e-003	-2.64973793e+001	4.29680572e+002	-2.14206292e+002	1.86404527e-003	9.29272237e-004
1.59188900e+006	4.96193207e+002	2.01534400e-003	-2.41604404e+001	4.52728135e+002	-2.03088489e+002	1.83880576e-003	8.24866528e-004
1.39556100e+006	5.12810486e+002	1.95003813e-003	-2.20282192e+001	4.75374931e+002	-1.92336343e+002	1.80768387e-003	7.31387546e-004
1.22344600e+006	5.24772705e+002	1.90558691e-003	-1.98827400e+001	4.93491330e+002	-1.78473244e+002	1.79199606e-003	6.48083019e-004
1.07255900e+006	5.33487610e+002	1.87445778e-003	-1.79013691e+001	5.07659906e+002	-1.63983078e+002	1.78370977e-003	5.76169625e-004
9.40280313e+005	5.42347229e+002	1.84383721e-003	-1.62173309e+001	5.20766827e+002	-1.51467583e+002	1.77046955e-003	5.14949740e-004
8.24315375e+005	5.47733398e+002	1.82570572e-003	-1.45242500e+001	5.30228706e+002	-1.37365918e+002	1.76735906e-003	4.57868269e-004
7.22652563e+005	5.53173218e+002	1.80775202e-003	-1.30868902e+001	5.38806093e+002	-1.25254153e+002	1.76080072e-003	4.09326482e-004
6.33527750e+005	5.58666870e+002	1.78997548e-003	-1.18183498e+001	5.46824164e+002	-1.14420304e+002	1.75203131e-003	3.66604052e-004
5.55394813e+005	5.64215210e+002	1.77237335e-003	-1.06315603e+001	5.54529820e+002	-1.04093618e+002	1.74194856e-003	3.26990041e-004
4.86897906e+005	5.66076782e+002	1.76654481e-003	-9.52729225e+000	5.58268812e+002	-9.36955538e+001	1.74217863e-003	2.92393893e-004
4.26848781e+005	5.69818604e+002	1.75494446e-003	-8.68197823e+000	5.63289289e+002	-8.60140570e+001	1.73483528e-003	2.64908677e-004
3.74205469e+005	5.73585083e+002	1.74342051e-003	-7.92041683e+000	5.68113324e+002	-7.90385884e+001	1.72678902e-003	2.40238982e-004
3.28054688e+005	5.75477722e+002	1.73768673e-003	-7.33100891e+000	5.70773496e+002	-7.34317692e+001	1.72348206e-003	2.21731278e-004
2.87595656e+005	5.75477722e+002	1.73768673e-003	-6.78236294e+000	5.71450477e+002	-6.79629426e+001	1.72552624e-003	2.05217854e-004
2.52126438e+005	5.79281616e+002	1.72627608e-003	-6.23092699e+000	5.75859524e+002	-6.28728867e+001	1.71607815e-003	1.87363033e-004
2.21031688e+005	5.81192871e+002	1.72059922e-003	-5.89676905e+000	5.78117554e+002	-5.97096892e+001	1.71149486e-003	1.76768246e-004
1.93771844e+005	5.83110596e+002	1.71494054e-003	-5.60441113e+000	5.80323260e+002	-5.69463013e+001	1.70674293e-003	1.67480271e-004
1.69873984e+005	5.85034607e+002	1.70930059e-003	-5.39806223e+000	5.82440064e+002	-5.50369217e+001	1.70172009e-003	1.60801843e-004
