Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : Title
Points       : 99
Pen legend   : 18:28:43
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	3.60479889e+002	2.77407986e-003	-4.52663002e+001	2.53710307e+002	-2.56079734e+002	1.95243251e-003	1.97066648e-003
3.50667900e+006	3.96614807e+002	2.52133804e-003	-4.33306808e+001	2.88499756e+002	-2.72160239e+002	1.83403493e-003	1.73016224e-003
3.07420000e+006	4.30659790e+002	2.32201850e-003	-4.11459808e+001	3.24302151e+002	-2.83365435e+002	1.74856258e-003	1.52784123e-003
2.69505900e+006	4.66089294e+002	2.14551163e-003	-3.90224991e+001	3.62104203e+002	-2.93461712e+002	1.66684536e-003	1.35086886e-003
2.36267700e+006	4.99472992e+002	2.00211026e-003	-3.67431717e+001	4.00240252e+002	-2.98799281e+002	1.60434123e-003	1.19772063e-003
2.07128800e+006	5.33487610e+002	1.87445778e-003	-3.44423409e+001	4.39964975e+002	-3.01728107e+002	1.54585740e-003	1.06014945e-003
1.81583600e+006	5.66076782e+002	1.76654481e-003	-3.19026508e+001	4.80569321e+002	-2.99158906e+002	1.49970333e-003	9.33579382e-004
1.59188900e+006	5.90844788e+002	1.69249187e-003	-2.92581005e+001	5.15468896e+002	-2.88772194e+002	1.47657546e-003	8.27196247e-004
1.39556100e+006	6.12646790e+002	1.63226188e-003	-2.68182602e+001	5.46751774e+002	-2.76402942e+002	1.45669918e-003	7.36414510e-004
1.22344600e+006	6.35253296e+002	1.57417522e-003	-2.42772694e+001	5.79075600e+002	-2.61186140e+002	1.43496534e-003	6.47226473e-004
1.07255900e+006	6.52216614e+002	1.53323295e-003	-2.19003906e+001	6.05148561e+002	-2.43272954e+002	1.42258521e-003	5.71886855e-004
9.40280313e+005	6.65235718e+002	1.50322656e-003	-1.97768993e+001	6.25998296e+002	-2.25088190e+002	1.41456215e-003	5.08629553e-004
8.24315375e+005	6.76283203e+002	1.47867047e-003	-1.77322502e+001	6.44153122e+002	-2.05975061e+002	1.40841913e-003	4.50357540e-004
7.22652563e+005	6.82999573e+002	1.46412976e-003	-1.59872799e+001	6.56583107e+002	-1.88114434e+002	1.40750142e-003	4.03256389e-004
6.33527750e+005	6.92058716e+002	1.44496410e-003	-1.43232298e+001	6.70546423e+002	-1.71209697e+002	1.40004813e-003	3.57472366e-004
5.55394813e+005	6.98931824e+002	1.43075471e-003	-1.28727703e+001	6.81365698e+002	-1.55712811e+002	1.39479582e-003	3.18753318e-004
4.86897906e+005	7.03551575e+002	1.42135991e-003	-1.15048304e+001	6.89415741e+002	-1.40323746e+002	1.39280179e-003	2.83491011e-004
4.26848781e+005	7.08202087e+002	1.41202634e-003	-1.03079500e+001	6.96771861e+002	-1.26724783e+002	1.38923654e-003	2.52666202e-004
3.74205469e+005	7.10538879e+002	1.40738252e-003	-9.41455841e+000	7.00968368e+002	-1.16227561e+002	1.38842597e-003	2.30214900e-004
