Exported from: CypherGraph V1.21.0
Acquired by  : CypherGraph V1.21.0 | C60-0504-0348 V1.23.1 : 21/08/2017
Graph title  : Title
Points       : 99
Pen legend   : 18:44:19
Resonance    : N/A
Capacitance  : N/A
Frequency (Hz)	Impedance (Ohms)	Admittance (S)	Phase angle (Degrees)	Resistance (Ohms)	Reactance (S)	Conductance (S)	Susceptance (S)
3.99999900e+006	1.43793594e+002	6.95441271e-003	-9.49481010e+000	1.41823701e+002	-2.37199421e+001	6.85914106e-003	1.14718787e-003
3.50667900e+006	1.48120499e+002	6.75126002e-003	-8.65782738e+000	1.46432659e+002	-2.22970522e+001	6.67432910e-003	1.01628876e-003
3.07420000e+006	1.52075699e+002	6.57567256e-003	-7.87938118e+000	1.50639931e+002	-2.08477665e+001	6.51359072e-003	9.01446367e-004
2.69505900e+006	1.54601303e+002	6.46825078e-003	-7.20609808e+000	1.53380162e+002	-1.93930058e+001	6.41716038e-003	8.11369779e-004
2.36267700e+006	1.56651794e+002	6.38358471e-003	-6.77246618e+000	1.55558724e+002	-1.84734416e+001	6.33904193e-003	7.52795586e-004
2.07128800e+006	1.58207596e+002	6.32080903e-003	-6.31734085e+000	1.57246912e+002	-1.74083939e+001	6.28242717e-003	6.95511064e-004
1.81583600e+006	1.58729599e+002	6.30002222e-003	-5.97491789e+000	1.57867310e+002	-1.65226538e+001	6.26579772e-003	6.55788754e-004
1.59188900e+006	1.59778793e+002	6.25865285e-003	-5.52762985e+000	1.59035800e+002	-1.53908126e+001	6.22954925e-003	6.02869449e-004
1.39556100e+006	1.60306000e+002	6.23806970e-003	-5.24110985e+000	1.59635779e+002	-1.46434892e+001	6.21198904e-003	5.69829615e-004
1.22344600e+006	1.60306000e+002	6.23806970e-003	-4.85344601e+000	1.59731202e+002	-1.35630649e+001	6.21570229e-003	5.27786510e-004
1.07255900e+006	1.61365601e+002	6.19710766e-003	-4.54199219e+000	1.60858842e+002	-1.27784963e+001	6.17764604e-003	4.90747204e-004
9.40280313e+005	1.61365601e+002	6.19710766e-003	-4.13236618e+000	1.60946088e+002	-1.16281478e+001	6.18099664e-003	4.46569054e-004
8.24315375e+005	1.61898102e+002	6.17672467e-003	-3.84553599e+000	1.61533585e+002	-1.08580014e+001	6.16281767e-003	4.14253684e-004
7.22652563e+005	1.62432297e+002	6.15641113e-003	-3.59470701e+000	1.62112715e+002	-1.01842324e+001	6.14429855e-003	3.85996644e-004
6.33527750e+005	1.62968201e+002	6.13616642e-003	-3.29295397e+000	1.62699122e+002	-9.36109781e+000	6.12603492e-003	3.52469094e-004
5.55394813e+005	1.62968201e+002	6.13616642e-003	-2.98507690e+000	1.62747074e+002	-8.48670827e+000	6.12784045e-003	3.19546108e-004
4.86897906e+005	1.63505905e+002	6.11598706e-003	-2.89155006e+000	1.63297731e+002	-8.24816153e+000	6.10820023e-003	3.08524938e-004
4.26848781e+005	1.63505905e+002	6.11598706e-003	-2.61752510e+000	1.63335311e+002	-7.46707627e+000	6.10960593e-003	2.79308211e-004
3.74205469e+005	1.64045395e+002	6.09587365e-003	-2.51514411e+000	1.63887363e+002	-7.19887770e+000	6.09000123e-003	2.67507959e-004
3.28054688e+005	1.64586700e+002	6.07582507e-003	-2.40913391e+000	1.64441229e+002	-6.91839046e+000	6.07045490e-003	2.55396882e-004
2.87595656e+005	1.64586700e+002	6.07582507e-003	-2.34388709e+000	1.64449001e+002	-6.73112498e+000	6.07074180e-003	2.48483855e-004
2.52126438e+005	1.65129700e+002	6.05584581e-003	-2.27584791e+000	1.64999449e+002	-6.55739865e+000	6.05106910e-003	2.40481241e-004
2.21031688e+005	1.65129700e+002	6.05584581e-003	-2.24930811e+000	1.65002469e+002	-6.48096906e+000	6.05117984e-003	2.37678318e-004
1.93771844e+005	1.65674606e+002	6.03592803e-003	-2.22062206e+000	1.65550190e+002	-6.41947088e+000	6.03139526e-003	2.33876905e-004
1.69873984e+005	1.65674606e+002	6.03592803e-003	-2.19005394e+000	1.65553592e+002	-6.33114656e+000	6.03151918e-003	2.30659036e-004
1.48923375e+005	1.66769699e+002	5.99629312e-003	-2.20178199e+000	1.66646577e+002	-6.40710634e+000	5.99186619e-003	2.30370912e-004
1.30556680e+005	1.66769699e+002	5.99629312e-003	-2.21206498e+000	1.66645424e+002	-6.43701465e+000	5.99182475e-003	2.31446281e-004
1.14455078e+005	1.67320007e+002	5.97657158e-003	-2.22107911e+000	1.67194304e+002	-6.48455970e+000	5.97208153e-003	2.31624632e-004
1.00339266e+005	1.67320007e+002	5.97657158e-003	-2.27292609e+000	1.67188368e+002	-6.63585124e+000	5.97186949e-003	2.37028677e-004
8.79644844e+004	1.67320007e+002	5.97657158e-003	-2.27985406e+000	1.67187564e+002	-6.65606691e+000	5.97184079e-003	2.37750768e-004
7.71158203e+004	1.68425903e+002	5.93732900e-003	-2.32987309e+000	1.68286672e+002	-6.84697626e+000	5.93242082e-003	2.41368756e-004
6.76051328e+004	1.68981705e+002	5.91780040e-003	-2.42308807e+000	1.68830614e+002	-7.14425241e+000	5.91250915e-003	2.50194303e-004
5.92673477e+004	1.68981705e+002	5.91780040e-003	-2.55959201e+000	1.68813114e+002	-7.54646108e+000	5.91189629e-003	2.64279796e-004
5.19579023e+004	1.69539200e+002	5.89834092e-003	-2.65157509e+000	1.69357680e+002	-7.84325605e+000	5.89202575e-003	2.72870216e-004
4.55499414e+004	1.69539200e+002	5.89834092e-003	-2.83094406e+000	1.69332296e+002	-8.37340437e+000	5.89114264e-003	2.91314302e-004
3.99322813e+004	1.70659897e+002	5.85960743e-003	-2.92197895e+000	1.70438018e+002	-8.69956746e+000	5.85198922e-003	2.98699642e-004
3.50073945e+004	1.71223007e+002	5.84033662e-003	-3.01262689e+000	1.70986373e+002	-8.99880213e+000	5.83226514e-003	3.06944928e-004
3.06899727e+004	1.71787903e+002	5.82113166e-003	-3.23477101e+000	1.71514194e+002	-9.69354764e+000	5.81185687e-003	3.28471424e-004
2.69049648e+004	1.72923492e+002	5.78290425e-003	-3.45661712e+000	1.72608899e+002	-1.04260347e+001	5.77238363e-003	3.48667260e-004
2.35867344e+004	1.72923492e+002	5.78290425e-003	-3.59031010e+000	1.72584101e+002	-1.08287685e+001	5.77155434e-003	3.62135478e-004
2.06778105e+004	1.74066498e+002	5.74493089e-003	-3.72377491e+000	1.73699001e+002	-1.13049903e+001	5.73280193e-003	3.73112512e-004
1.81275859e+004	1.74640793e+002	5.72603905e-003	-4.03282022e+000	1.74208370e+002	-1.22821181e+001	5.71186097e-003	4.02700233e-004
1.58919443e+004	1.75217102e+002	5.70720545e-003	-4.29774284e+000	1.74724407e+002	-1.31306720e+001	5.69115728e-003	4.27694797e-004
1.39319570e+004	1.76375198e+002	5.66973140e-003	-4.51856709e+000	1.75826999e+002	-1.38952172e+001	5.65210906e-003	4.46673626e-004
1.22137051e+004	1.76957199e+002	5.65108402e-003	-4.73925591e+000	1.76352185e+002	-1.46204392e+001	5.63176304e-003	4.66900079e-004
1.07073799e+004	1.78126907e+002	5.61397497e-003	-5.09166098e+000	1.77424017e+002	-1.58086435e+001	5.59182219e-003	4.98236510e-004
9.38687109e+003	1.79304306e+002	5.57711090e-003	-5.35607290e+000	1.78521432e+002	-1.67371633e+001	5.55276024e-003	5.20595505e-004
8.22916797e+003	1.80489502e+002	5.54048844e-003	-5.66433811e+000	1.79608207e+002	-1.78143844e+001	5.51343532e-003	5.46848374e-004
7.21424072e+003	1.81682495e+002	5.50410759e-003	-6.10436010e+000	1.80652329e+002	-1.93200690e+001	5.47289850e-003	5.85305361e-004
6.32450293e+003	1.82883408e+002	5.46796461e-003	-6.36852884e+000	1.81754833e+002	-2.02859878e+001	5.43422178e-003	6.06523384e-004
5.54451416e+003	1.84092300e+002	5.43205771e-003	-6.76447392e+000	1.82810785e+002	-2.16839118e+001	5.39424371e-003	6.39832627e-004
4.86068262e+003	1.85920593e+002	5.37864032e-003	-7.16036510e+000	1.84470629e+002	-2.31744254e+001	5.33669319e-003	6.70430837e-004
4.26120459e+003	1.87766998e+002	5.32574951e-003	-7.60015297e+000	1.86117500e+002	-2.48338823e+001	5.27896380e-003	7.04378500e-004
3.73570776e+003	1.89631805e+002	5.27337699e-003	-8.03990078e+000	1.87767897e+002	-2.65224144e+001	5.22154449e-003	7.37548691e-004
3.27495142e+003	1.90885300e+002	5.23874809e-003	-8.47961140e+000	1.88798618e+002	-2.81474619e+001	5.18148019e-003	7.72492499e-004
2.87106714e+003	1.93417099e+002	5.17017371e-003	-8.91929054e+000	1.91078246e+002	-2.99879687e+001	5.10765453e-003	8.01599280e-004
2.51696021e+003	1.95337997e+002	5.11933169e-003	-9.53472328e+000	1.92639480e+002	-3.23568211e+001	5.04861015e-003	8.47993232e-004
2.20655029e+003	1.97928894e+002	5.05231944e-003	-1.00183001e+001	1.94910922e+002	-3.44322473e+001	4.97528289e-003	8.78915196e-004
1.93441284e+003	1.99894608e+002	5.00263620e-003	-1.05457897e+001	1.96518179e+002	-3.65849642e+001	4.91813644e-003	9.15588812e-004
1.69583777e+003	2.02545898e+002	4.93715256e-003	-1.10293198e+001	1.98804757e+002	-3.87493181e+001	4.84596045e-003	9.44533049e-004
1.48671216e+003	2.05232407e+002	4.87252484e-003	-1.16886196e+001	2.00976517e+002	-4.15786065e+001	4.77148364e-003	9.87138417e-004
1.30333960e+003	2.07954498e+002	4.80874426e-003	-1.22160702e+001	2.03245698e+002	-4.40029496e+001	4.69985786e-003	1.01752515e-003
1.14256079e+003	2.11408005e+002	4.73018986e-003	-1.28753405e+001	2.06092613e+002	-4.71081657e+001	4.61125959e-003	1.05403089e-003
1.00169299e+003	2.14918900e+002	4.65291792e-003	-1.34467001e+001	2.09027256e+002	-4.99773929e+001	4.52536592e-003	1.08199283e-003
8.78113281e+002	2.18488007e+002	4.57691026e-003	-1.39741201e+001	2.12021832e+002	-5.27612702e+001	4.44145615e-003	1.10524876e-003
7.69794800e+002	2.22116394e+002	4.50214404e-003	-1.47651901e+001	2.14781757e+002	-5.66082111e+001	4.35347607e-003	1.14740887e-003
6.74889404e+002	2.26550201e+002	4.41403271e-003	-1.54244299e+001	2.18390336e+002	-6.02549151e+001	4.25504847e-003	1.17398777e-003
5.91668274e+002	2.31072403e+002	4.32764790e-003	-1.61715393e+001	2.21929365e+002	-6.43569136e+001	4.15641218e-003	1.20531080e-003
5.18641296e+002	2.36462601e+002	4.22899857e-003	-1.66989307e+001	2.26490466e+002	-6.79457891e+001	4.05065264e-003	1.21517163e-003
4.54675507e+002	2.41978394e+002	4.13260038e-003	-1.75339298e+001	2.30735765e+002	-7.29009578e+001	3.94059443e-003	1.24503069e-003
3.98638397e+002	2.46808701e+002	4.05172102e-003	-1.81931400e+001	2.34470595e+002	-7.70589030e+001	3.84917322e-003	1.26503311e-003
3.49456909e+002	2.52565903e+002	3.95936264e-003	-1.89402294e+001	2.38891402e+002	-8.19782495e+001	3.74499361e-003	1.28513634e-003
3.06355988e+002	2.60165802e+002	3.84370272e-003	-1.96873302e+001	2.44957827e+002	-8.76464931e+001	3.61901932e-003	1.29489372e-003
2.68560791e+002	2.66234589e+002	3.75608596e-003	-2.03904705e+001	2.49552316e+002	-9.27604311e+001	3.52072943e-003	1.30868102e-003
2.35415405e+002	2.74245789e+002	3.64636411e-003	-2.11815109e+001	2.55717866e+002	-9.90915016e+001	3.40001738e-003	1.31751775e-003
2.06383408e+002	2.82498108e+002	3.53984672e-003	-2.21043797e+001	2.61734460e+002	-1.06302650e+002	3.27966752e-003	1.33202692e-003
1.80928299e+002	2.90998688e+002	3.43644161e-003	-2.28075199e+001	2.68246165e+002	-1.12801735e+002	3.16775409e-003	1.33209046e-003
1.58632706e+002	2.99755188e+002	3.33605569e-003	-2.35545998e+001	2.74779487e+002	-1.19789006e+002	3.05809443e-003	1.33316390e-003
1.39079300e+002	3.09793915e+002	3.22795237e-003	-2.43016796e+001	2.82343452e+002	-1.27492921e+002	2.94192742e-003	1.32843499e-003
1.21910500e+002	3.20168793e+002	3.12335250e-003	-2.50926991e+001	2.89952173e+002	-1.35778471e+002	2.82857938e-003	1.32456391e-003
1.06887703e+002	3.33078308e+002	3.00229698e-003	-2.59276791e+001	2.99552864e+002	-1.45633929e+002	2.70010576e-003	1.31271324e-003
9.36535034e+001	3.45368805e+002	2.89545548e-003	-2.65868607e+001	3.08848435e+002	-1.54571199e+002	2.58928103e-003	1.29587275e-003
8.21480026e+001	3.59294403e+002	2.78323289e-003	-2.72460499e+001	3.19430224e+002	-1.64489513e+002	2.47442960e-003	1.27419915e-003
7.20136032e+001	3.73781586e+002	2.67535919e-003	-2.78612900e+001	3.30453411e+002	-1.74680328e+002	2.36523575e-003	1.25028262e-003
6.31310997e+001	3.88852814e+002	2.57166713e-003	-2.81249599e+001	3.42937693e+002	-1.83303708e+002	2.26800878e-003	1.21227391e-003
5.53217010e+001	4.05866486e+002	2.46386444e-003	-2.83886395e+001	3.57058144e+002	-1.92969133e+002	2.16756715e-003	1.17144381e-003
4.84660988e+001	4.25022491e+002	2.35281666e-003	-2.86962605e+001	3.72820169e+002	-2.04081455e+002	2.06383785e-003	1.12974315e-003
4.25046997e+001	4.43618713e+002	2.25418804e-003	-2.88281002e+001	3.88641181e+002	-2.13905576e+002	1.97482720e-003	1.08693204e-003
3.72587013e+001	4.66089294e+002	2.14551163e-003	-2.93554497e+001	4.06241215e+002	-2.28489180e+002	1.87001774e-003	1.05178600e-003
3.26683998e+001	4.88087494e+002	2.04881299e-003	-2.96630707e+001	4.24123958e+002	-2.41553866e+002	1.78031744e-003	1.01395489e-003
2.86145992e+001	5.09443115e+002	1.96292770e-003	-3.04101391e+001	4.39356024e+002	-2.57873170e+002	1.69287617e-003	9.93607278e-004
2.50974007e+001	5.35247925e+002	1.86829309e-003	-3.13769398e+001	4.56973494e+002	-2.78685426e+002	1.59507470e-003	9.72756794e-004
2.19974995e+001	5.58666870e+002	1.78997548e-003	-3.25195198e+001	4.71072568e+002	-3.00331995e+002	1.50932227e-003	9.62267384e-004
1.92553005e+001	5.86965027e+002	1.70367902e-003	-3.33105392e+001	4.90530405e+002	-3.22347429e+002	1.42377539e-003	9.35620566e-004
1.68707008e+001	6.18731201e+002	1.61621072e-003	-3.45410118e+001	5.09661605e+002	-3.50818112e+002	1.33130598e-003	9.16385004e-004
1.47841997e+001	6.54368591e+002	1.52819071e-003	-3.53759689e+001	5.33552968e+002	-3.78839655e+002	1.24604191e-003	8.84729566e-004
1.29958000e+001	6.82999573e+002	1.46412976e-003	-3.62988205e+001	5.50456996e+002	-4.04333416e+002	1.18000143e-003	8.66759821e-004
1.13862000e+001	7.27113403e+002	1.37530129e-003	-3.69140511e+001	5.81354352e+002	-4.36716176e+002	1.09960480e-003	8.26028398e-004
9.95552826e+000	7.56431396e+002	1.32199695e-003	-3.81005783e+001	5.95257647e+002	-4.66751317e+002	1.04031747e-003	8.15730046e-004
